Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1pa000101,589,12.516,14359,101,-0.031,-0.006,2015,1pa000101,589,12.516,14359,101,-0.031,-0.006
2015,1pa000102,695,12.525,12917,116,-0.005,-0.000,2015,1pa000102,695,12.525,12917,116,-0.005,-0.000
2015,1pa000103,758,12.363,17428,92,-0.016,-0.012,2015,1pa000103,758,12.363,17428,92,-0.016,-0.012
2015,1pa000104,162,12.811,4046,23,-0.042,-0.022,2015,1pa000104,162,12.811,4046,23,-0.042,-0.022
2015,1pa000200,773,12.410,16077,150,-0.015,-0.010,2015,1pa000200,773,12.410,16077,150,-0.015,-0.010
2015,1pa000201,239,12.504,4375,49,-0.066,-0.016,2015,1pa000201,239,12.504,4375,49,-0.066,-0.016
2015,1pa000202,226,12.673,4172,37,-0.011,0.004,2015,1pa000202,226,12.673,4172,37,-0.011,0.004
2015,1pa000203,778,12.734,16495,135,-0.045,-0.021,2015,1pa000203,778,12.734,16495,135,-0.045,-0.021
2015,1pa000204,222,12.757,4520,71,0.077,0.015,2015,1pa000204,222,12.757,4520,71,0.077,0.015
2015,1pa000205,516,12.887,9826,121,-0.016,0.003,2015,1pa000205,516,12.887,9826,121,-0.016,0.003
2015,1pa000206,3550,12.623,77405,450,-0.025,-0.019,2015,1pa000206,3550,12.623,77405,450,-0.025,-0.019
2015,1pa000207,272,12.061,4707,64,0.020,,2015,1pa000207,272,12.061,4707,64,0.020,
2015,1pa010000,251,12.718,4986,46,0.001,-0.009,2015,1pa010000,251,12.718,4986,46,0.001,-0.009
2015,1pa010001,349,12.074,5855,101,-0.022,0.024,2015,1pa010001,349,12.074,5855,101,-0.022,0.024
2015,1pa010002,395,12.723,9120,41,-0.011,0.012,2015,1pa010002,395,12.723,9120,41,-0.011,0.012
2015,1pa010003,332,12.591,6347,62,-0.038,0.001,2015,1pa010003,332,12.591,6347,62,-0.038,0.001
2015,1pa010004,261,12.519,5195,44,-0.092,-0.021,2015,1pa010004,261,12.519,5195,44,-0.092,-0.021
2015,1pa010005,82,12.423,1549,18,-0.037,-0.000,2015,1pa010005,82,12.423,1549,18,-0.037,-0.000
2015,1pa010006,219,12.761,5674,21,0.005,-0.009,2015,1pa010006,219,12.761,5674,21,0.005,-0.009
2015,1pa010100,645,12.666,12227,159,-0.025,-0.027,2015,1pa010100,645,12.666,12227,159,-0.025,-0.027
2015,1pa010101,513,12.901,9260,101,-0.004,0.005,2015,1pa010101,513,12.901,9260,101,-0.004,0.005
2015,1pa010102,1247,12.756,30691,271,-0.060,-0.001,2015,1pa010102,1247,12.756,30691,271,-0.060,-0.001
2015,1pa010103,450,13.023,10375,45,0.004,0.016,2015,1pa010103,450,13.023,10375,45,0.004,0.016
2015,1pa010104,329,12.277,6844,38,-0.006,0.000,2015,1pa010104,329,12.277,6844,38,-0.006,0.000
2015,1pa010200,263,12.897,6459,32,0.021,0.050,2015,1pa010200,263,12.897,6459,32,0.021,0.050
2015,1pa010201,519,13.011,10237,95,0.011,0.004,2015,1pa010201,519,13.011,10237,95,0.011,0.004
2015,1pa010202,335,12.495,7936,52,0.025,0.031,2015,1pa010202,335,12.495,7936,52,0.025,0.031
2015,1pa010203,803,12.618,17551,166,-0.020,0.001,2015,1pa010203,803,12.618,17551,166,-0.020,0.001
2015,1pa020000,3456,12.816,93155,244,-0.028,-0.011,2015,1pa020000,3456,12.816,93155,244,-0.028,-0.011
2015,1pa020001,999,13.070,27710,111,-0.029,-0.008,2015,1pa020001,999,13.070,27710,111,-0.029,-0.008
2015,1pa020002,9079,13.016,249147,548,-0.052,-0.025,2015,1pa020002,9079,13.016,249147,548,-0.052,-0.025
2015,1pa020003,511,13.265,14921,48,0.022,0.005,2015,1pa020003,511,13.265,14921,48,0.022,0.005
2015,1pa020004,975,13.219,22564,72,-0.089,-0.025,2015,1pa020004,975,13.219,22564,72,-0.089,-0.025
2015,1pa020005,168,12.390,4622,24,-0.001,-0.006,2015,1pa020005,168,12.390,4622,24,-0.001,-0.006
2015,1pa020100,344,13.318,7503,70,-0.027,0.003,2015,1pa020100,344,13.318,7503,70,-0.027,0.003
2015,1pa020101,1475,13.068,42548,111,-0.030,-0.014,2015,1pa020101,1475,13.068,42548,111,-0.030,-0.014
2015,1pa020102,116,12.689,2310,29,-0.017,-0.020,2015,1pa020102,116,12.689,2310,29,-0.017,-0.020
2015,1pa020103,531,13.103,14202,54,-0.007,-0.012,2015,1pa020103,531,13.103,14202,54,-0.007,-0.012
2015,1pa020104,307,12.920,6665,54,-0.018,-0.019,2015,1pa020104,307,12.920,6665,54,-0.018,-0.019
2015,1pa030000,486,12.900,12654,82,0.009,-0.000,2015,1pa030000,486,12.900,12654,82,0.009,-0.000
2015,1pa030001,146,13.046,3194,38,0.053,0.010,2015,1pa030001,146,13.046,3194,38,0.053,0.010
2015,1pa030002,1182,12.546,29671,162,-0.026,-0.007,2015,1pa030002,1182,12.546,29671,162,-0.026,-0.007
2015,1pa030003,608,13.560,16025,62,0.036,-0.018,2015,1pa030003,608,13.560,16025,62,0.036,-0.018
2015,1pa030004,407,12.943,8478,63,0.011,-0.023,2015,1pa030004,407,12.943,8478,63,0.011,-0.023
2015,1pa030005,119,13.015,2584,23,-0.046,-0.028,2015,1pa030005,119,13.015,2584,23,-0.046,-0.028
2015,1pa030006,93,13.184,1812,20,-0.001,-0.008,2015,1pa030006,93,13.184,1812,20,-0.001,-0.008
2015,1pa030007,99,13.124,2611,13,0.016,-0.017,2015,1pa030007,99,13.124,2611,13,0.016,-0.017
2015,1pa030008,124,12.902,2983,14,0.024,-0.026,2015,1pa030008,124,12.902,2983,14,0.024,-0.026
2015,1pa030009,255,12.963,5717,58,-0.019,-0.023,2015,1pa030009,255,12.963,5717,58,-0.019,-0.023
2015,1pa030010,102,14.166,2026,19,0.002,-0.016,2015,1pa030010,102,14.166,2026,19,0.002,-0.016
2015,1pa030011,175,13.274,3538,37,0.019,-0.011,2015,1pa030011,175,13.274,3538,37,0.019,-0.011
2015,1pa030012,342,12.746,7827,60,0.015,0.006,2015,1pa030012,342,12.746,7827,60,0.015,0.006
2015,1pa030100,1498,12.635,34805,188,-0.038,-0.023,2015,1pa030100,1498,12.635,34805,188,-0.038,-0.023
2015,1pa030101,386,13.086,8181,61,-0.021,-0.004,2015,1pa030101,386,13.086,8181,61,-0.021,-0.004
2015,1pa030102,1622,12.877,36204,226,-0.014,-0.009,2015,1pa030102,1622,12.877,36204,226,-0.014,-0.009
2015,1pa030103,714,12.460,16402,114,0.003,-0.004,2015,1pa030103,714,12.460,16402,114,0.003,-0.004
2015,1pa030104,350,12.787,7286,52,-0.037,-0.003,2015,1pa030104,350,12.787,7286,52,-0.037,-0.003
2015,1pa030105,376,12.804,8307,56,-0.031,0.001,2015,1pa030105,376,12.804,8307,56,-0.031,0.001
2015,1pa030106,395,12.736,9780,46,-0.000,0.006,2015,1pa030106,395,12.736,9780,46,-0.000,0.006
2015,1pa030200,315,12.728,6216,80,-0.009,0.001,2015,1pa030200,315,12.728,6216,80,-0.009,0.001
2015,1pa030201,263,12.120,5250,51,0.012,-0.007,2015,1pa030201,263,12.120,5250,51,0.012,-0.007
